"metric","kernel","window_type","window_size","macroFScore","microFScore","isOneHot"
manhattan,uniform,variable,143.520000,0.16666667,0.16666667,false
manhattan,uniform,variable,145.600000,0.16666667,0.16666667,false
manhattan,uniform,variable,147.680000,0.16666667,0.16666667,false
manhattan,uniform,variable,149.760000,0.16666667,0.16666667,false
manhattan,uniform,variable,151.840000,0.16666667,0.16666667,false
manhattan,uniform,variable,153.920000,0.16666667,0.16666667,false
manhattan,uniform,variable,156.000000,0.16666667,0.16666667,false
manhattan,uniform,variable,158.080000,0.16666667,0.16666667,false
manhattan,uniform,variable,160.160000,0.16666667,0.16666667,false
manhattan,uniform,variable,162.240000,0.16666667,0.16666667,false
manhattan,uniform,variable,164.320000,0.16666667,0.16666667,false
manhattan,uniform,variable,166.400000,0.16666667,0.16666667,false
manhattan,uniform,variable,168.480000,0.16666667,0.16666667,false
manhattan,uniform,variable,170.560000,0.16666667,0.16666667,false
manhattan,uniform,variable,172.640000,0.16666667,0.16666667,false
manhattan,uniform,variable,174.720000,0.16666667,0.16666667,false
manhattan,uniform,variable,176.800000,0.16666667,0.16666667,false
manhattan,uniform,variable,178.880000,0.16666667,0.16666667,false
manhattan,uniform,variable,180.960000,0.16666667,0.16666667,false
manhattan,uniform,variable,183.040000,0.16666667,0.16666667,false
manhattan,uniform,variable,185.120000,0.16666667,0.16666667,false
manhattan,uniform,variable,187.200000,0.16666667,0.16666667,false
manhattan,uniform,variable,189.280000,0.16666667,0.16666667,false
manhattan,uniform,variable,191.360000,0.16666667,0.16666667,false
manhattan,uniform,variable,193.440000,0.16666667,0.16666667,false
manhattan,uniform,variable,195.520000,0.16666667,0.16666667,false
manhattan,uniform,variable,197.600000,0.16666667,0.16666667,false
manhattan,uniform,variable,199.680000,0.16666667,0.16666667,false
manhattan,uniform,variable,201.760000,0.16666667,0.16666667,false
manhattan,uniform,variable,203.840000,0.16666667,0.16666667,false
manhattan,uniform,variable,205.920000,0.16666667,0.16666667,false
manhattan,uniform,fixed,0.051028,0.16666667,0.16666667,false
manhattan,uniform,fixed,0.102055,0.50367827,0.24364070,false
manhattan,uniform,fixed,0.153083,0.53012048,0.29480797,false
manhattan,uniform,fixed,0.204111,0.62189490,0.47670046,false
manhattan,uniform,fixed,0.255138,0.71498548,0.63559547,false
manhattan,uniform,fixed,0.306166,0.82692602,0.80137220,false
manhattan,uniform,fixed,0.357194,0.85419504,0.83576617,false
manhattan,uniform,fixed,0.408222,0.86797682,0.85146869,false
manhattan,uniform,fixed,0.459249,0.89298495,0.88542367,false
manhattan,uniform,fixed,0.510277,0.89382853,0.88533030,false
manhattan,uniform,fixed,0.561305,0.89222851,0.88445390,false
manhattan,uniform,fixed,0.612332,0.89886743,0.89168312,false
manhattan,uniform,fixed,0.663360,0.87649119,0.86804766,false
manhattan,uniform,fixed,0.714388,0.88827815,0.88169112,false
manhattan,uniform,fixed,0.765415,0.88147186,0.87302278,false
manhattan,uniform,fixed,0.816443,0.87649119,0.86804766,false
manhattan,uniform,fixed,0.867471,0.85747819,0.84579729,false
manhattan,uniform,fixed,0.918498,0.83466989,0.82246944,false
manhattan,uniform,fixed,0.969526,0.81801746,0.79587814,false
manhattan,uniform,fixed,1.020554,0.79037064,0.76790283,false
manhattan,uniform,fixed,1.071581,0.76438580,0.74025720,false
manhattan,uniform,fixed,1.122609,0.75284034,0.72570567,false
manhattan,uniform,fixed,1.173637,0.73389380,0.70106334,false
manhattan,uniform,fixed,1.224665,0.71588357,0.67683992,false
manhattan,uniform,fixed,1.275692,0.69497946,0.64749880,false
manhattan,uniform,fixed,1.326720,0.68262225,0.62778283,false
manhattan,uniform,fixed,1.377748,0.66924418,0.60456346,false
manhattan,uniform,fixed,1.428775,0.65748028,0.58792699,false
manhattan,uniform,fixed,1.479803,0.62847704,0.54424242,false
manhattan,uniform,fixed,1.530831,0.61746530,0.52296296,false
manhattan,uniform,fixed,1.581858,0.59420522,0.46156302,false
manhattan,uniform,fixed,1.632886,0.57806988,0.43598958,false
manhattan,uniform,fixed,1.683914,0.56454971,0.38396934,false
manhattan,uniform,fixed,1.734941,0.55970400,0.35045882,false
manhattan,uniform,fixed,1.785969,0.54718273,0.32830960,false
manhattan,uniform,fixed,1.836997,0.53442679,0.30387841,false
manhattan,uniform,fixed,1.888025,0.51703185,0.27012413,false
manhattan,uniform,fixed,1.939052,0.49916583,0.23390313,false
manhattan,uniform,fixed,1.990080,0.39393589,0.20511816,false
manhattan,uniform,fixed,2.041108,0.38424161,0.17665371,false
manhattan,uniform,fixed,2.092135,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.143163,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.194191,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.245218,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.296246,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.347274,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.398301,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.449329,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.500357,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.551384,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.602412,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.653440,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.704468,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.755495,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.806523,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.857551,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.908578,0.16666667,0.16666667,false
manhattan,uniform,fixed,2.959606,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.010634,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.061661,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.112689,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.163717,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.214744,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.265772,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.316800,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.367828,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.418855,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.469883,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.520911,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.571938,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.622966,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.673994,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.725021,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.776049,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.827077,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.878104,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.929132,0.16666667,0.16666667,false
manhattan,uniform,fixed,3.980160,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.031187,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.082215,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.133243,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.184271,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.235298,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.286326,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.337354,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.388381,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.439409,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.490437,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.541464,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.592492,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.643520,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.694547,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.745575,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.796603,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.847631,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.898658,0.16666667,0.16666667,false
manhattan,uniform,fixed,4.949686,0.16666667,0.16666667,false
manhattan,uniform,fixed,5.000714,0.16666667,0.16666667,false
manhattan,uniform,fixed,5.051741,0.16666667,0.16666667,false
manhattan,triangular,variable,2.080000,0.91051191,0.90916595,false
manhattan,triangular,variable,4.160000,0.90801298,0.90498080,false
manhattan,triangular,variable,6.240000,0.89964125,0.89535434,false
manhattan,triangular,variable,8.320000,0.90377534,0.89981210,false
manhattan,triangular,variable,10.400000,0.90924465,0.90450973,false
manhattan,triangular,variable,12.480000,0.90512455,0.90004862,false
manhattan,triangular,variable,14.560000,0.90590541,0.90044149,false
manhattan,triangular,variable,16.640000,0.89785054,0.89076333,false
manhattan,triangular,variable,18.720000,0.89785054,0.89076333,false
manhattan,triangular,variable,20.800000,0.89785054,0.89076333,false
manhattan,triangular,variable,22.880000,0.89389913,0.88635961,false
manhattan,triangular,variable,24.960000,0.88997637,0.88194070,false
manhattan,triangular,variable,27.040000,0.88218634,0.87269788,false
manhattan,triangular,variable,29.120000,0.87834397,0.86826647,false
manhattan,triangular,variable,31.200000,0.87387714,0.86422425,false
manhattan,triangular,variable,33.280000,0.87387714,0.86422425,false
manhattan,triangular,variable,35.360000,0.87387714,0.86422425,false
manhattan,triangular,variable,37.440000,0.87387714,0.86422425,false
manhattan,triangular,variable,39.520000,0.87387714,0.86422425,false
manhattan,triangular,variable,41.600000,0.87011626,0.85979542,false
manhattan,triangular,variable,43.680000,0.87011626,0.85979542,false
manhattan,triangular,variable,45.760000,0.87011626,0.85979542,false
manhattan,triangular,variable,47.840000,0.86058403,0.85041444,false
manhattan,triangular,variable,49.920000,0.86058403,0.85041444,false
manhattan,triangular,variable,52.000000,0.86058403,0.85041444,false
manhattan,triangular,variable,54.080000,0.85498631,0.84579910,false
manhattan,triangular,variable,56.160000,0.84734971,0.83663301,false
manhattan,triangular,variable,58.240000,0.84220276,0.83150481,false
manhattan,triangular,variable,60.320000,0.83847665,0.82704118,false
manhattan,triangular,variable,62.400000,0.83847665,0.82704118,false
manhattan,triangular,variable,64.480000,0.83847665,0.82704118,false
manhattan,triangular,variable,66.560000,0.83847665,0.82704118,false
manhattan,triangular,variable,68.640000,0.83847665,0.82704118,false
manhattan,triangular,variable,70.720000,0.83476863,0.82255211,false
manhattan,triangular,variable,72.800000,0.83476863,0.82255211,false
manhattan,triangular,variable,74.880000,0.82181452,0.80891984,false
manhattan,triangular,variable,76.960000,0.82353526,0.80968479,false
manhattan,triangular,variable,79.040000,0.81993758,0.80512826,false
manhattan,triangular,variable,81.120000,0.81993758,0.80512826,false
manhattan,triangular,variable,83.200000,0.81611276,0.80047689,false
manhattan,triangular,variable,85.280000,0.81611276,0.80047689,false
manhattan,triangular,variable,87.360000,0.81254630,0.79590575,false
manhattan,triangular,variable,89.440000,0.81453426,0.79676529,false
manhattan,triangular,variable,91.520000,0.80695921,0.78742825,false
manhattan,triangular,variable,93.600000,0.80695921,0.78742825,false
manhattan,triangular,variable,95.680000,0.80695921,0.78742825,false
manhattan,triangular,variable,97.760000,0.80317596,0.78270508,false
manhattan,triangular,variable,99.840000,0.79973073,0.77815853,false
manhattan,triangular,variable,101.920000,0.79629609,0.77357494,false
manhattan,triangular,variable,104.000000,0.79463477,0.76851852,false
manhattan,triangular,variable,106.080000,0.78752152,0.75910364,false
manhattan,triangular,variable,108.160000,0.78413149,0.75447921,false
manhattan,triangular,variable,110.240000,0.78074779,0.74981211,false
manhattan,triangular,variable,112.320000,0.77736977,0.74510065,false
manhattan,triangular,variable,114.400000,0.76695059,0.73074425,false
manhattan,triangular,variable,116.480000,0.75655728,0.71619233,false
manhattan,triangular,variable,118.560000,0.74617507,0.70142412,false
manhattan,triangular,variable,120.640000,0.73947917,0.69128852,false
manhattan,triangular,variable,122.720000,0.73277966,0.68090250,false
manhattan,triangular,variable,124.800000,0.72081681,0.65315955,false
manhattan,triangular,variable,126.880000,0.68593550,0.59732515,false
manhattan,triangular,variable,128.960000,0.67528024,0.57974286,false
manhattan,triangular,variable,131.040000,0.62400418,0.49153679,false
manhattan,triangular,variable,133.120000,0.61265858,0.47084641,false
manhattan,triangular,variable,135.200000,0.58948571,0.42727369,false
manhattan,triangular,variable,137.280000,0.55771614,0.36142182,false
manhattan,triangular,variable,139.360000,0.42232015,0.33557524,false
manhattan,triangular,variable,141.440000,0.41536083,0.32341534,false
manhattan,triangular,variable,143.520000,0.42468293,0.32693193,false
manhattan,triangular,variable,145.600000,0.42131036,0.32063813,false
manhattan,triangular,variable,147.680000,0.42131036,0.32063813,false
manhattan,triangular,variable,149.760000,0.41786995,0.31422631,false
manhattan,triangular,variable,151.840000,0.41835671,0.29751031,false
manhattan,triangular,variable,153.920000,0.41145509,0.28338883,false
manhattan,triangular,variable,156.000000,0.40786319,0.27610693,false
manhattan,triangular,variable,158.080000,0.41260745,0.25617284,false
manhattan,triangular,variable,160.160000,0.41260745,0.25617284,false
manhattan,triangular,variable,162.240000,0.40338505,0.23154623,false
manhattan,triangular,variable,164.320000,0.40338505,0.23154623,false
manhattan,triangular,variable,166.400000,0.39393589,0.20511816,false
manhattan,triangular,variable,168.480000,0.38750145,0.18638423,false
manhattan,triangular,variable,170.560000,0.38424161,0.17665371,false
manhattan,triangular,variable,172.640000,0.16666667,0.16666667,false
manhattan,triangular,variable,174.720000,0.16666667,0.16666667,false
manhattan,triangular,variable,176.800000,0.16666667,0.16666667,false
manhattan,triangular,variable,178.880000,0.16666667,0.16666667,false
manhattan,triangular,variable,180.960000,0.16666667,0.16666667,false
manhattan,triangular,variable,183.040000,0.16666667,0.16666667,false
manhattan,triangular,variable,185.120000,0.16666667,0.16666667,false
manhattan,triangular,variable,187.200000,0.16666667,0.16666667,false
manhattan,triangular,variable,189.280000,0.16666667,0.16666667,false
manhattan,triangular,variable,191.360000,0.16666667,0.16666667,false
manhattan,triangular,variable,193.440000,0.16666667,0.16666667,false
manhattan,triangular,variable,195.520000,0.16666667,0.16666667,false
manhattan,triangular,variable,197.600000,0.16666667,0.16666667,false
manhattan,triangular,variable,199.680000,0.16666667,0.16666667,false
manhattan,triangular,variable,201.760000,0.16666667,0.16666667,false
manhattan,triangular,variable,203.840000,0.16666667,0.16666667,false
manhattan,triangular,variable,205.920000,0.16666667,0.16666667,false
manhattan,triangular,fixed,0.051028,0.16666667,0.16666667,false
manhattan,triangular,fixed,0.102055,0.50367827,0.24364070,false
manhattan,triangular,fixed,0.153083,0.53012048,0.29480797,false
manhattan,triangular,fixed,0.204111,0.62586783,0.48328669,false
manhattan,triangular,fixed,0.255138,0.72227521,0.64573665,false
manhattan,triangular,fixed,0.306166,0.83063283,0.80668836,false
manhattan,triangular,fixed,0.357194,0.85692661,0.84120382,false
manhattan,triangular,fixed,0.408222,0.88419157,0.87509319,false
manhattan,triangular,fixed,0.459249,0.89135196,0.88514209,false
manhattan,triangular,fixed,0.510277,0.89546156,0.89005462,false
manhattan,triangular,fixed,0.561305,0.90104899,0.89473417,false
manhattan,triangular,fixed,0.612332,0.90104688,0.89519669,false
manhattan,triangular,fixed,0.663360,0.90186286,0.89561390,false
manhattan,triangular,fixed,0.714388,0.89886743,0.89168312,false
manhattan,triangular,fixed,0.765415,0.89106155,0.88248045,false
manhattan,triangular,fixed,0.816443,0.88716668,0.87767300,false
manhattan,triangular,fixed,0.867471,0.88716668,0.87767300,false
manhattan,triangular,fixed,0.918498,0.87011626,0.85979542,false
manhattan,triangular,fixed,0.969526,0.86637810,0.85534511,false
manhattan,triangular,fixed,1.020554,0.86648408,0.85556389,false
manhattan,triangular,fixed,1.071581,0.86266151,0.85087195,false
manhattan,triangular,fixed,1.122609,0.86041762,0.84688174,false
manhattan,triangular,fixed,1.173637,0.84788560,0.83263843,false
manhattan,triangular,fixed,1.224665,0.82174836,0.80502421,false
manhattan,triangular,fixed,1.275692,0.80404050,0.78178635,false
manhattan,triangular,fixed,1.326720,0.79293009,0.76782383,false
manhattan,triangular,fixed,1.377748,0.78922851,0.76309183,false
manhattan,triangular,fixed,1.428775,0.77823129,0.75006312,false
manhattan,triangular,fixed,1.479803,0.77110765,0.74058668,false
manhattan,triangular,fixed,1.530831,0.76773923,0.73589481,false
manhattan,triangular,fixed,1.581858,0.75728413,0.72154843,false
manhattan,triangular,fixed,1.632886,0.74508775,0.70124380,false
manhattan,triangular,fixed,1.683914,0.73801039,0.69132653,false
manhattan,triangular,fixed,1.734941,0.72319435,0.66515742,false
manhattan,triangular,fixed,1.785969,0.71609192,0.65480952,false
manhattan,triangular,fixed,1.836997,0.70471665,0.63841406,false
manhattan,triangular,fixed,1.888025,0.70454883,0.63176244,false
manhattan,triangular,fixed,1.939052,0.68580880,0.60327325,false
manhattan,triangular,fixed,1.990080,0.67117291,0.57177484,false
manhattan,triangular,fixed,2.041108,0.64297599,0.52563621,false
manhattan,triangular,fixed,2.092135,0.64174626,0.51100558,false
manhattan,triangular,fixed,2.143163,0.61721618,0.46925739,false
manhattan,triangular,fixed,2.194191,0.61352362,0.46365209,false
manhattan,triangular,fixed,2.245218,0.61538462,0.44924812,false
manhattan,triangular,fixed,2.296246,0.59203887,0.40814520,false
manhattan,triangular,fixed,2.347274,0.57605512,0.37796021,false
manhattan,triangular,fixed,2.398301,0.56382774,0.35559120,false
manhattan,triangular,fixed,2.449329,0.55138195,0.33248258,false
manhattan,triangular,fixed,2.500357,0.53012048,0.29151809,false
manhattan,triangular,fixed,2.551384,0.50815975,0.24996746,false
manhattan,triangular,fixed,2.602412,0.40648350,0.23994470,false
manhattan,triangular,fixed,2.653440,0.40338505,0.23154623,false
manhattan,triangular,fixed,2.704468,0.40026141,0.22294788,false
manhattan,triangular,fixed,2.755495,0.39393589,0.20511816,false
manhattan,triangular,fixed,2.806523,0.39393589,0.20511816,false
manhattan,triangular,fixed,2.857551,0.38424161,0.17665371,false
manhattan,triangular,fixed,2.908578,0.16666667,0.16666667,false
manhattan,triangular,fixed,2.959606,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.010634,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.061661,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.112689,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.163717,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.214744,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.265772,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.316800,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.367828,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.418855,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.469883,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.520911,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.571938,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.622966,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.673994,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.725021,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.776049,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.827077,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.878104,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.929132,0.16666667,0.16666667,false
manhattan,triangular,fixed,3.980160,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.031187,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.082215,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.133243,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.184271,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.235298,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.286326,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.337354,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.388381,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.439409,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.490437,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.541464,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.592492,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.643520,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.694547,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.745575,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.796603,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.847631,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.898658,0.16666667,0.16666667,false
manhattan,triangular,fixed,4.949686,0.16666667,0.16666667,false
manhattan,triangular,fixed,5.000714,0.16666667,0.16666667,false
manhattan,triangular,fixed,5.051741,0.16666667,0.16666667,false
manhattan,epanechnikov,variable,2.080000,0.91051191,0.90916595,false
manhattan,epanechnikov,variable,4.160000,0.90801298,0.90498080,false
manhattan,epanechnikov,variable,6.240000,0.90377534,0.89981210,false
manhattan,epanechnikov,variable,8.320000,0.90377534,0.89981210,false
manhattan,epanechnikov,variable,10.400000,0.90924465,0.90450973,false
manhattan,epanechnikov,variable,12.480000,0.90512455,0.90004862,false
manhattan,epanechnikov,variable,14.560000,0.90590541,0.90044149,false
manhattan,epanechnikov,variable,16.640000,0.89785054,0.89076333,false
manhattan,epanechnikov,variable,18.720000,0.89389913,0.88635961,false
manhattan,epanechnikov,variable,20.800000,0.88997637,0.88194070,false
manhattan,epanechnikov,variable,22.880000,0.88997637,0.88194070,false
manhattan,epanechnikov,variable,24.960000,0.88044133,0.87284471,false
manhattan,epanechnikov,variable,27.040000,0.87000152,0.85944277,false
manhattan,epanechnikov,variable,29.120000,0.87000152,0.85944277,false
manhattan,epanechnikov,variable,31.200000,0.87387714,0.86422425,false
manhattan,epanechnikov,variable,33.280000,0.87387714,0.86422425,false
manhattan,epanechnikov,variable,35.360000,0.87387714,0.86422425,false
manhattan,epanechnikov,variable,37.440000,0.87387714,0.86422425,false
manhattan,epanechnikov,variable,39.520000,0.86448648,0.85516367,false
manhattan,epanechnikov,variable,41.600000,0.86448648,0.85516367,false
manhattan,epanechnikov,variable,43.680000,0.86448648,0.85516367,false
manhattan,epanechnikov,variable,45.760000,0.86058403,0.85041444,false
manhattan,epanechnikov,variable,47.840000,0.85686394,0.84598906,false
manhattan,epanechnikov,variable,49.920000,0.85686394,0.84598906,false
manhattan,epanechnikov,variable,52.000000,0.84366815,0.83220913,false
manhattan,epanechnikov,variable,54.080000,0.84366815,0.83220913,false
manhattan,epanechnikov,variable,56.160000,0.84366815,0.83220913,false
manhattan,epanechnikov,variable,58.240000,0.84220276,0.83150481,false
manhattan,epanechnikov,variable,60.320000,0.83847665,0.82704118,false
manhattan,epanechnikov,variable,62.400000,0.83290042,0.82245278,false
manhattan,epanechnikov,variable,64.480000,0.82918809,0.81796906,false
manhattan,epanechnikov,variable,66.560000,0.82918809,0.81796906,false
manhattan,epanechnikov,variable,68.640000,0.82549317,0.81345856,false
manhattan,epanechnikov,variable,70.720000,0.82181452,0.80891984,false
manhattan,epanechnikov,variable,72.800000,0.81815102,0.80435146,false
manhattan,epanechnikov,variable,74.880000,0.81815102,0.80435146,false
manhattan,epanechnikov,variable,76.960000,0.81993758,0.80512826,false
manhattan,epanechnikov,variable,79.040000,0.81611276,0.80047689,false
manhattan,epanechnikov,variable,81.120000,0.80874378,0.79123817,false
manhattan,epanechnikov,variable,83.200000,0.81074489,0.79211447,false
manhattan,epanechnikov,variable,85.280000,0.81074489,0.79211447,false
manhattan,epanechnikov,variable,87.360000,0.80695921,0.78742825,false
