"metric","kernel","window_type","window_size","macroFScore","microFScore","isOneHot"
manhattan,uniform,variable,2.080000,0.89147498,0.88640126,false
manhattan,uniform,variable,4.160000,0.89522073,0.88822050,false
manhattan,uniform,variable,6.240000,0.88503453,0.87700243,false
manhattan,uniform,variable,8.320000,0.89700089,0.89032224,false
manhattan,uniform,variable,10.400000,0.87936430,0.87194723,false
manhattan,uniform,variable,12.480000,0.89135196,0.88514209,false
manhattan,uniform,variable,14.560000,0.87146924,0.86267284,false
manhattan,uniform,variable,16.640000,0.87141858,0.86218374,false
manhattan,uniform,variable,18.720000,0.86741845,0.85867824,false
manhattan,uniform,variable,20.800000,0.87141858,0.86218374,false
manhattan,uniform,variable,22.880000,0.86836596,0.85849711,false
manhattan,uniform,variable,24.960000,0.86274881,0.85391014,false
manhattan,uniform,variable,27.040000,0.85669863,0.84563619,false
manhattan,uniform,variable,29.120000,0.85498631,0.84579910,false
manhattan,uniform,variable,31.200000,0.84755651,0.83693512,false
manhattan,uniform,variable,33.280000,0.85126063,0.84137865,false
manhattan,uniform,variable,35.360000,0.84755651,0.83693512,false
manhattan,uniform,variable,37.440000,0.84594813,0.83594439,false
manhattan,uniform,variable,39.520000,0.83290042,0.82245278,false
manhattan,uniform,variable,41.600000,0.82507040,0.81293509,false
manhattan,uniform,variable,43.680000,0.81215100,0.79947018,false
manhattan,uniform,variable,45.760000,0.81029479,0.79938956,false
manhattan,uniform,variable,47.840000,0.80663341,0.79492774,false
manhattan,uniform,variable,49.920000,0.79720321,0.78566233,false
manhattan,uniform,variable,52.000000,0.78601311,0.77197508,false
manhattan,uniform,variable,54.080000,0.78242582,0.76746283,false
manhattan,uniform,variable,56.160000,0.77812822,0.76241891,false
manhattan,uniform,variable,58.240000,0.78373135,0.76687918,false
manhattan,uniform,variable,60.320000,0.77982619,0.76202483,false
manhattan,uniform,variable,62.400000,0.78231397,0.76232440,false
manhattan,uniform,variable,64.480000,0.77665348,0.75353247,false
manhattan,uniform,variable,66.560000,0.76728918,0.74315503,false
manhattan,uniform,variable,68.640000,0.77241698,0.74811811,false
manhattan,uniform,variable,70.720000,0.77539285,0.75000000,false
manhattan,uniform,variable,72.800000,0.77539285,0.75000000,false
manhattan,uniform,variable,74.880000,0.76102105,0.73108573,false
manhattan,uniform,variable,76.960000,0.75671669,0.72567476,false
manhattan,uniform,variable,79.040000,0.74952322,0.71607523,false
manhattan,uniform,variable,81.120000,0.74845894,0.71065676,false
manhattan,uniform,variable,83.200000,0.73747006,0.69564884,false
manhattan,uniform,variable,85.280000,0.73028907,0.68573359,false
manhattan,uniform,variable,87.360000,0.69192280,0.63079575,false
manhattan,uniform,variable,89.440000,0.65484933,0.57661583,false
manhattan,uniform,variable,91.520000,0.58218688,0.44048816,false
manhattan,uniform,variable,93.600000,0.39793519,0.31643701,false
manhattan,uniform,variable,95.680000,0.40645713,0.31991744,false
manhattan,uniform,variable,97.760000,0.40043812,0.29772080,false
manhattan,uniform,variable,99.840000,0.39518296,0.27302997,false
manhattan,uniform,variable,101.920000,0.39089027,0.26566416,false
manhattan,uniform,variable,104.000000,0.40648350,0.23994470,false
manhattan,uniform,variable,106.080000,0.40026141,0.22294788,false
manhattan,uniform,variable,108.160000,0.39393589,0.20511816,false
manhattan,uniform,variable,110.240000,0.39393589,0.20511816,false
manhattan,uniform,variable,112.320000,0.39393589,0.20511816,false
manhattan,uniform,variable,114.400000,0.39073264,0.19586898,false
manhattan,uniform,variable,116.480000,0.38424161,0.17665371,false
manhattan,uniform,variable,118.560000,0.16666667,0.16666667,false
manhattan,uniform,variable,120.640000,0.16666667,0.16666667,false
manhattan,uniform,variable,122.720000,0.16666667,0.16666667,false
manhattan,uniform,variable,124.800000,0.16666667,0.16666667,false
manhattan,uniform,variable,126.880000,0.16666667,0.16666667,false
manhattan,uniform,variable,128.960000,0.16666667,0.16666667,false
manhattan,uniform,variable,131.040000,0.16666667,0.16666667,false
manhattan,uniform,variable,133.120000,0.16666667,0.16666667,false
manhattan,uniform,variable,135.200000,0.16666667,0.16666667,false
manhattan,uniform,variable,137.280000,0.16666667,0.16666667,false
manhattan,uniform,variable,139.360000,0.16666667,0.16666667,false
manhattan,uniform,variable,141.440000,0.16666667,0.16666667,false
